example_id,format,correct,error,input_token_count,question_category,question_difficulty,source_dataset,query,gold_label,prediction,failure_flip_example
9,html,1,,2150,Simple Lookup,Easy,hybridqa,What type of property is the structure discovered by William Copeland Borlase ?,['Megalithic tomb'],Megalithic tomb,0
9,latex,1,,1395,Simple Lookup,Easy,hybridqa,What type of property is the structure discovered by William Copeland Borlase ?,['Megalithic tomb'],Megalithic tomb,0
9,markdown,1,,1531,Simple Lookup,Easy,hybridqa,What type of property is the structure discovered by William Copeland Borlase ?,['Megalithic tomb'],Megalithic tomb,0
10,html,1,,3421,Simple Lookup,Easy,wikitq,what was the number of points that einar liberg had in the 1924 summer olympic games?,['42'],42,0
10,latex,1,,1206,Simple Lookup,Easy,wikitq,what was the number of points that einar liberg had in the 1924 summer olympic games?,['42'],42,0
10,markdown,1,,1464,Simple Lookup,Easy,wikitq,what was the number of points that einar liberg had in the 1924 summer olympic games?,['42'],42,0
11,html,0,,990,Simple Lookup,Easy,wikitq,what is the result of the first tournament?,['1R'],4–7,1
11,latex,1,,476,Simple Lookup,Easy,wikitq,what is the result of the first tournament?,['1R'],1R,1
11,markdown,1,,495,Simple Lookup,Easy,wikitq,what is the result of the first tournament?,['1R'],1R,1
12,html,1,,11179,Simple Lookup,Easy,wikitq,how many rooms total are at cone health?,['969'],969,1
12,latex,1,,3842,Simple Lookup,Easy,wikitq,how many rooms total are at cone health?,['969'],969,1
12,markdown,0,,4827,Simple Lookup,Easy,wikitq,how many rooms total are at cone health?,['969'],"To find the total number of rooms at Cone Health, we sum the ""Total"" values for all hospitals listed with the affiliation ""Cone"":

1. Alam",1
13,html,1,,984,Simple Lookup,Easy,hybridqa,What is the population of where the mountain peak of Kinnaur Kailash is located ?,"['84,298']","84,298",0
13,latex,1,,481,Simple Lookup,Easy,hybridqa,What is the population of where the mountain peak of Kinnaur Kailash is located ?,"['84,298']","thought
84,298",0
13,markdown,1,,483,Simple Lookup,Easy,hybridqa,What is the population of where the mountain peak of Kinnaur Kailash is located ?,"['84,298']","84,298",0
14,html,1,,805,Simple Lookup,Easy,wikitq,what rank was france in?,['1'],1,0
14,latex,1,,329,Simple Lookup,Easy,wikitq,what rank was france in?,['1'],1,0
14,markdown,1,,298,Simple Lookup,Easy,wikitq,what rank was france in?,['1'],1,0
15,html,1,,4989,Simple Lookup,Easy,wikitq,what is each location listed for the benteak timber tree?,"['Kerala, Madras, Maharashtra, Karnataka']","Kerala, Madras, Maharashtra, Karnataka",0
15,latex,1,,3048,Simple Lookup,Easy,wikitq,what is each location listed for the benteak timber tree?,"['Kerala, Madras, Maharashtra, Karnataka']","Kerala, Madras, Maharashtra, Karnataka",0
15,markdown,1,,3617,Simple Lookup,Easy,wikitq,what is each location listed for the benteak timber tree?,"['Kerala, Madras, Maharashtra, Karnataka']","thought
Kerala, Madras, Maharashtra, Karnataka",0
16,html,0,,2546,Simple Lookup,Easy,hybridqa,For how many seasons in Premier Division is the club that are a Bantu ethnic group of Southern Africa ?,['15'],The provided table does not contain information regarding the ethnic groups of the clubs.,0
16,latex,0,,2004,Simple Lookup,Easy,hybridqa,For how many seasons in Premier Division is the club that are a Bantu ethnic group of Southern Africa ?,['15'],The provided table does not contain information regarding the ethnic groups of the clubs.,0
16,markdown,0,,2104,Simple Lookup,Easy,hybridqa,For how many seasons in Premier Division is the club that are a Bantu ethnic group of Southern Africa ?,['15'],"The question cannot be answered using only the provided table, as the table does not contain information regarding the ethnic groups of the clubs.",0
17,html,1,,1129,Simple Lookup,Easy,hybridqa,What is the network whose country is the largest country in Oceania ?,['SoHo'],SoHo,0
17,latex,1,,547,Simple Lookup,Easy,hybridqa,What is the network whose country is the largest country in Oceania ?,['SoHo'],SoHo,0
17,markdown,1,,552,Simple Lookup,Easy,hybridqa,What is the network whose country is the largest country in Oceania ?,['SoHo'],SoHo,0
18,html,1,,1521,Simple Lookup,Easy,hybridqa,What is the album for the British virtual band created in 1998 by Damon Albarn and artist Jamie Hewlett ?,['Plastic Beach'],Plastic Beach,0
18,latex,1,,654,Simple Lookup,Easy,hybridqa,What is the album for the British virtual band created in 1998 by Damon Albarn and artist Jamie Hewlett ?,['Plastic Beach'],Plastic Beach,0
18,markdown,1,,705,Simple Lookup,Easy,hybridqa,What is the album for the British virtual band created in 1998 by Damon Albarn and artist Jamie Hewlett ?,['Plastic Beach'],"thought
Plastic Beach",0
19,html,1,,610,Simple Lookup,Easy,sqa,how many bronze did japan get?,['7'],7,0
19,latex,1,,276,Simple Lookup,Easy,sqa,how many bronze did japan get?,['7'],7,0
19,markdown,1,,232,Simple Lookup,Easy,sqa,how many bronze did japan get?,['7'],7,0
20,html,1,,704,Simple Lookup,Easy,sqa,"which competition was at the venue in kuala lumpur, malaysia?",['Commonwealth Games'],Commonwealth Games,0
20,latex,1,,374,Simple Lookup,Easy,sqa,"which competition was at the venue in kuala lumpur, malaysia?",['Commonwealth Games'],Commonwealth Games,0
20,markdown,1,,333,Simple Lookup,Easy,sqa,"which competition was at the venue in kuala lumpur, malaysia?",['Commonwealth Games'],Commonwealth Games,0
21,html,0,,1196,Simple Lookup,Easy,wikitq,what is the next award listed after 2008?,['Best Supporting Actress'],Nikkan Sports Grand Prix (Fall),0
21,latex,0,,546,Simple Lookup,Easy,wikitq,what is the next award listed after 2008?,['Best Supporting Actress'],Nikkan Sports Grand Prix (Fall),0
21,markdown,0,,568,Simple Lookup,Easy,wikitq,what is the next award listed after 2008?,['Best Supporting Actress'],Nikkan Sports Grand Prix (Fall),0
22,html,1,,3432,Simple Lookup,Easy,wikitq,what is the name of the diver before brittany broben?,['Olena Fedorova'],Olena Fedorova,0
22,latex,1,,1321,Simple Lookup,Easy,wikitq,what is the name of the diver before brittany broben?,['Olena Fedorova'],Olena Fedorova,0
22,markdown,1,,1460,Simple Lookup,Easy,wikitq,what is the name of the diver before brittany broben?,['Olena Fedorova'],Olena Fedorova,0
23,html,1,,930,Simple Lookup,Easy,wikitq,what is the number of bronze for the united states?,['6'],6,0
23,latex,1,,375,Simple Lookup,Easy,wikitq,what is the number of bronze for the united states?,['6'],6,0
23,markdown,1,,328,Simple Lookup,Easy,wikitq,what is the number of bronze for the united states?,['6'],6,0
24,html,1,,611,Simple Lookup,Easy,wikitq,how many total medals did china receive?,['35'],35,0
24,latex,1,,277,Simple Lookup,Easy,wikitq,how many total medals did china receive?,['35'],35,0
24,markdown,1,,233,Simple Lookup,Easy,wikitq,how many total medals did china receive?,['35'],35,0
25,html,1,,856,Simple Lookup,Easy,sqa,when in 2008 did pizzelli score international goals?,['2008-5-28'],2008-5-28,0
25,latex,1,,457,Simple Lookup,Easy,sqa,when in 2008 did pizzelli score international goals?,['2008-5-28'],2008-5-28,0
25,markdown,1,,449,Simple Lookup,Easy,sqa,when in 2008 did pizzelli score international goals?,['2008-5-28'],"thought
2008-5-28",0
26,html,1,,1659,Simple Lookup,Easy,wikitq,which ship is on the nvr page before henry eckford?,['Benjamin Isherwood'],Benjamin Isherwood,0
26,latex,1,,915,Simple Lookup,Easy,wikitq,which ship is on the nvr page before henry eckford?,['Benjamin Isherwood'],Benjamin Isherwood,0
26,markdown,1,,1070,Simple Lookup,Easy,wikitq,which ship is on the nvr page before henry eckford?,['Benjamin Isherwood'],Benjamin Isherwood,0
27,html,1,,1016,Simple Lookup,Easy,wikitq,what country's athlete finished in first?,['Poland'],Poland,0
27,latex,1,,439,Simple Lookup,Easy,wikitq,what country's athlete finished in first?,['Poland'],Poland,0
27,markdown,1,,423,Simple Lookup,Easy,wikitq,what country's athlete finished in first?,['Poland'],Poland,0
28,html,1,,1312,Simple Lookup,Easy,wikitq,which song is after rollin hard?,"['""The Harvest""']","""The Harvest""",1
28,latex,1,,627,Simple Lookup,Easy,wikitq,which song is after rollin hard?,"['""The Harvest""']",The Harvest,1
28,markdown,0,,637,Simple Lookup,Easy,wikitq,which song is after rollin hard?,"['""The Harvest""']","""Sippin""",1
29,html,1,,2360,Simple Lookup,Easy,wikitq,which route number is listed before the woodford wells to leytonstone station route?,['W12'],W12,0
29,latex,1,,1158,Simple Lookup,Easy,wikitq,which route number is listed before the woodford wells to leytonstone station route?,['W12'],W12,0
29,markdown,1,,1271,Simple Lookup,Easy,wikitq,which route number is listed before the woodford wells to leytonstone station route?,['W12'],W12,0
30,html,1,,889,Simple Lookup,Easy,sqa,what type is roger h bennett?,['Yorkshire Engine Company Janus 0-6-0'],Yorkshire Engine Company Janus 0-6-0,0
30,latex,1,,449,Simple Lookup,Easy,sqa,what type is roger h bennett?,['Yorkshire Engine Company Janus 0-6-0'],"thought
Yorkshire Engine Company Janus 0-6-0",0
30,markdown,1,,462,Simple Lookup,Easy,sqa,what type is roger h bennett?,['Yorkshire Engine Company Janus 0-6-0'],Yorkshire Engine Company Janus 0-6-0,0
31,html,1,,772,Simple Lookup,Easy,wikitq,what year was agent trouble nominated?,['1988'],1988,0
31,latex,1,,340,Simple Lookup,Easy,wikitq,what year was agent trouble nominated?,['1988'],1988,0
31,markdown,1,,317,Simple Lookup,Easy,wikitq,what year was agent trouble nominated?,['1988'],1988,0
32,html,1,,2734,Simple Lookup,Easy,wikitq,what was the top team in 1971?,['Cologne'],Cologne,0
32,latex,1,,980,Simple Lookup,Easy,wikitq,what was the top team in 1971?,['Cologne'],Cologne,0
32,markdown,1,,1162,Simple Lookup,Easy,wikitq,what was the top team in 1971?,['Cologne'],Cologne,0
33,html,1,,704,Simple Lookup,Easy,sqa,and which gene functions are attributed to cytoplasmic tyrosine kinases?,"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
33,latex,1,,493,Simple Lookup,Easy,sqa,and which gene functions are attributed to cytoplasmic tyrosine kinases?,"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
33,markdown,1,,523,Simple Lookup,Easy,sqa,and which gene functions are attributed to cytoplasmic tyrosine kinases?,"['mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival']","mediate the responses to, and the activation receptors of cell proliferation, migration, differentiation, and survival",0
34,html,1,,1579,Simple Lookup,Easy,hybridqa,"Produced by an animation studio located in London , England , what international cartoon that premiered in 2004 , featured a character named Freddy Fox ?",['Peppa Pig'],Peppa Pig,0
34,latex,1,,1012,Simple Lookup,Easy,hybridqa,"Produced by an animation studio located in London , England , what international cartoon that premiered in 2004 , featured a character named Freddy Fox ?",['Peppa Pig'],Peppa Pig,0
34,markdown,1,,1493,Simple Lookup,Easy,hybridqa,"Produced by an animation studio located in London , England , what international cartoon that premiered in 2004 , featured a character named Freddy Fox ?",['Peppa Pig'],Peppa Pig,0
35,html,1,,1395,Simple Lookup,Easy,hybridqa,What is the capacity of the stadium that was owned jointly by Brann ( 49 % ) and Stor-Bergen Boligbyggelag ( 51 % ) ?,"['17,317']","17,317",0
35,latex,1,,597,Simple Lookup,Easy,hybridqa,What is the capacity of the stadium that was owned jointly by Brann ( 49 % ) and Stor-Bergen Boligbyggelag ( 51 % ) ?,"['17,317']","17,317",0
35,markdown,1,,613,Simple Lookup,Easy,hybridqa,What is the capacity of the stadium that was owned jointly by Brann ( 49 % ) and Stor-Bergen Boligbyggelag ( 51 % ) ?,"['17,317']","17,317",0
36,html,1,,1293,Simple Lookup,Easy,wikitq,how many threads per inch does a pg42 size screw have?,['16'],16,0
36,latex,1,,891,Simple Lookup,Easy,wikitq,how many threads per inch does a pg42 size screw have?,['16'],16,0
36,markdown,1,,869,Simple Lookup,Easy,wikitq,how many threads per inch does a pg42 size screw have?,['16'],16,0
37,html,1,,963,Simple Lookup,Easy,sqa,how many medals has brazil won in the swatch fivb world tour 2007?,['42'],42,0
37,latex,1,,396,Simple Lookup,Easy,sqa,how many medals has brazil won in the swatch fivb world tour 2007?,['42'],42,0
37,markdown,1,,337,Simple Lookup,Easy,sqa,how many medals has brazil won in the swatch fivb world tour 2007?,['42'],42,0
38,html,1,,1306,Simple Lookup,Easy,wikitq,the album at the top,['Hotsilog: The ASAP Hotdog Compilation'],Hotsilog: The ASAP Hotdog Compilation,0
38,latex,1,,723,Simple Lookup,Easy,wikitq,the album at the top,['Hotsilog: The ASAP Hotdog Compilation'],Hotsilog: The ASAP Hotdog Compilation,0
38,markdown,1,,777,Simple Lookup,Easy,wikitq,the album at the top,['Hotsilog: The ASAP Hotdog Compilation'],Hotsilog: The ASAP Hotdog Compilation,0
39,html,1,,1912,Simple Lookup,Easy,hybridqa,What is the 1993 population estimate of the city that is the second-largest city in Myanmar ?,"['885,287']","885,287",0
39,latex,1,,923,Simple Lookup,Easy,hybridqa,What is the 1993 population estimate of the city that is the second-largest city in Myanmar ?,"['885,287']","885,287",0
39,markdown,1,,994,Simple Lookup,Easy,hybridqa,What is the 1993 population estimate of the city that is the second-largest city in Myanmar ?,"['885,287']","885,287",0
40,html,1,,723,Simple Lookup,Easy,wikitq,how many votes did robert goodall receive?,['333'],333,0
40,latex,1,,360,Simple Lookup,Easy,wikitq,how many votes did robert goodall receive?,['333'],333,0
40,markdown,1,,336,Simple Lookup,Easy,wikitq,how many votes did robert goodall receive?,['333'],333,0
41,html,1,,2193,Simple Lookup,Easy,sqa,what was the chernobyl-2 net capacity?,['925'],925,0
41,latex,1,,1109,Simple Lookup,Easy,sqa,what was the chernobyl-2 net capacity?,['925'],925,0
41,markdown,1,,1171,Simple Lookup,Easy,sqa,what was the chernobyl-2 net capacity?,['925'],925,0
42,html,1,,724,Simple Lookup,Easy,wikitq,what team is listed before duurly's?,['L.D. Alajuelense'],L.D. Alajuelense,0
42,latex,1,,409,Simple Lookup,Easy,wikitq,what team is listed before duurly's?,['L.D. Alajuelense'],L.D. Alajuelense,0
42,markdown,1,,383,Simple Lookup,Easy,wikitq,what team is listed before duurly's?,['L.D. Alajuelense'],L.D. Alajuelense,0
43,html,1,,861,Simple Lookup,Easy,wikitq,how long was the final time for the united states?,['3:43.42'],3:43.42,0
43,latex,1,,517,Simple Lookup,Easy,wikitq,how long was the final time for the united states?,['3:43.42'],3:43.42,0
43,markdown,1,,449,Simple Lookup,Easy,wikitq,how long was the final time for the united states?,['3:43.42'],"thought
3:43.42",0
44,html,1,,3293,Simple Lookup,Easy,wikitq,how many laps did alain prost finished?,['64'],64,0
44,latex,1,,1184,Simple Lookup,Easy,wikitq,how many laps did alain prost finished?,['64'],64,0
44,markdown,1,,1359,Simple Lookup,Easy,wikitq,how many laps did alain prost finished?,['64'],64,0
45,html,1,,1494,Simple Lookup,Easy,hybridqa,What year did the eight president of Western Michigan University get his degree ?,['1972'],1972,0
45,latex,1,,784,Simple Lookup,Easy,hybridqa,What year did the eight president of Western Michigan University get his degree ?,['1972'],1972,0
45,markdown,1,,876,Simple Lookup,Easy,hybridqa,What year did the eight president of Western Michigan University get his degree ?,['1972'],1972,0
46,html,1,,1193,Simple Lookup,Easy,sqa,how many league goals did gregory nelson score this season?,['3'],3,0
46,latex,1,,479,Simple Lookup,Easy,sqa,how many league goals did gregory nelson score this season?,['3'],3,0
46,markdown,1,,434,Simple Lookup,Easy,sqa,how many league goals did gregory nelson score this season?,['3'],3,0
47,html,1,,1311,Simple Lookup,Easy,sqa,which of them is from the usa?,['Krisztina Fazekas Zur (USA)'],Krisztina Fazekas Zur (USA),0
47,latex,1,,816,Simple Lookup,Easy,sqa,which of them is from the usa?,['Krisztina Fazekas Zur (USA)'],Krisztina Fazekas Zur (USA),0
47,markdown,1,,858,Simple Lookup,Easy,sqa,which of them is from the usa?,['Krisztina Fazekas Zur (USA)'],Krisztina Fazekas Zur (USA),0
48,html,1,,1435,Simple Lookup,Easy,wikitq,what is the last site's municipality?,['Fukuyama'],Fukuyama,0
48,latex,1,,1076,Simple Lookup,Easy,wikitq,what is the last site's municipality?,['Fukuyama'],Fukuyama,0
48,markdown,1,,1052,Simple Lookup,Easy,wikitq,what is the last site's municipality?,['Fukuyama'],Fukuyama,0
49,html,1,,968,Simple Lookup,Easy,sqa,which games took place in 1999?,['World Youth Championships'],World Youth Championships,0
49,latex,1,,468,Simple Lookup,Easy,sqa,which games took place in 1999?,['World Youth Championships'],World Youth Championships,0
49,markdown,1,,469,Simple Lookup,Easy,sqa,which games took place in 1999?,['World Youth Championships'],World Youth Championships,0
50,html,1,,1422,Conditional Lookup,Easy,wikitq,name an athlete from the same country as schroder.,['Klaus Jürgen Schneider'],Klaus Jürgen Schneider,0
50,latex,1,,688,Conditional Lookup,Easy,wikitq,name an athlete from the same country as schroder.,['Klaus Jürgen Schneider'],Klaus Jürgen Schneider,0
50,markdown,1,,716,Conditional Lookup,Easy,wikitq,name an athlete from the same country as schroder.,['Klaus Jürgen Schneider'],Klaus Jürgen Schneider,0
51,html,1,,768,Conditional Lookup,Easy,hybridqa,What is the name of the airport whose location is located in the buffer zone established at the end of the 1992 War of Transnistria ?,['Tighina Airport'],Tighina Airport,1
51,latex,0,,377,Conditional Lookup,Easy,hybridqa,What is the name of the airport whose location is located in the buffer zone established at the end of the 1992 War of Transnistria ?,['Tighina Airport'],The provided table does not contain information regarding the buffer zone established at the end of the 1992 War of Transnistria.,1
51,markdown,0,,359,Conditional Lookup,Easy,hybridqa,What is the name of the airport whose location is located in the buffer zone established at the end of the 1992 War of Transnistria ?,['Tighina Airport'],The table does not provide information regarding the buffer zone established at the end of the 1992 War of Transnistria.,1
52,html,1,,2753,Conditional Lookup,Easy,sqa,what other driver in the same race also earned 21 points?,['Domenic Beninca'],"thought
Domenic Beninca",1
52,latex,0,,1006,Conditional Lookup,Easy,sqa,what other driver in the same race also earned 21 points?,['Domenic Beninca'],Gary Rowe,1
52,markdown,0,,1141,Conditional Lookup,Easy,sqa,what other driver in the same race also earned 21 points?,['Domenic Beninca'],Gary Rowe,1
53,html,0,,724,Conditional Lookup,Easy,hybridqa,What is the capacity of the stadium located in the county seat of Union County ?,"['1,200']",The provided table does not contain information regarding the county seat of Union County.,0
53,latex,0,,367,Conditional Lookup,Easy,hybridqa,What is the capacity of the stadium located in the county seat of Union County ?,"['1,200']",The provided table does not contain information regarding the county seat of Union County.,0
53,markdown,0,,339,Conditional Lookup,Easy,hybridqa,What is the capacity of the stadium located in the county seat of Union County ?,"['1,200']",The table does not provide information regarding which location is the county seat of Union County.,0
54,html,0,,997,Conditional Lookup,Easy,hybridqa,What is the nationality of the recipient that is also the oldest ever winner of the World Cup ?,['Italy'],Brazil,0
54,latex,0,,433,Conditional Lookup,Easy,hybridqa,What is the nationality of the recipient that is also the oldest ever winner of the World Cup ?,['Italy'],The table does not provide information regarding who is the oldest ever winner of the World Cup.,0
54,markdown,0,,429,Conditional Lookup,Easy,hybridqa,What is the nationality of the recipient that is also the oldest ever winner of the World Cup ?,['Italy'],The table does not provide information regarding who is the oldest ever winner of the World Cup.,0
55,html,0,,929,Conditional Lookup,Easy,hybridqa,What sport did the first man to win three consecutive gold medals in the same event at a Winter Olympics participate in ?,['Nordic combined'],"thought
The provided table does not contain information regarding the number of consecutive gold medals won by any athlete.",0
55,latex,0,,415,Conditional Lookup,Easy,hybridqa,What sport did the first man to win three consecutive gold medals in the same event at a Winter Olympics participate in ?,['Nordic combined'],The provided table does not contain information regarding the first man to win three consecutive gold medals in the same event at a Winter Olympics.,0
55,markdown,0,,423,Conditional Lookup,Easy,hybridqa,What sport did the first man to win three consecutive gold medals in the same event at a Winter Olympics participate in ?,['Nordic combined'],The provided table does not contain information regarding consecutive gold medals or the history of athletes across multiple Olympics.,0
56,html,1,,1075,Conditional Lookup,Easy,wikitq,"kiss the girl, under the sea, or what other song are all choices from the film ""the little mermaid""?","['""Part of Your World""']","""Part of Your World""",0
56,latex,1,,504,Conditional Lookup,Easy,wikitq,"kiss the girl, under the sea, or what other song are all choices from the film ""the little mermaid""?","['""Part of Your World""']",Part of Your World,0
56,markdown,1,,519,Conditional Lookup,Easy,wikitq,"kiss the girl, under the sea, or what other song are all choices from the film ""the little mermaid""?","['""Part of Your World""']",Part of Your World,0
57,html,1,,1020,Conditional Lookup,Easy,wikitq,which vehicle class originally had the same price as a car with trailer?,['Class 4 (e.g. Van)'],Class 4 (e.g. Van),0
57,latex,1,,565,Conditional Lookup,Easy,wikitq,which vehicle class originally had the same price as a car with trailer?,['Class 4 (e.g. Van)'],Class 4 (e.g. Van),0
57,markdown,1,,579,Conditional Lookup,Easy,wikitq,which vehicle class originally had the same price as a car with trailer?,['Class 4 (e.g. Van)'],Class 4 (e.g. Van),0
58,html,1,,881,Conditional Lookup,Easy,hybridqa,The person whose nickname is Watto was appointed head coach in which year ?,['2015'],3 September 2015,1
58,latex,0,,469,Conditional Lookup,Easy,hybridqa,The person whose nickname is Watto was appointed head coach in which year ?,['2015'],The table does not provide information regarding nicknames.,1
58,markdown,0,,454,Conditional Lookup,Easy,hybridqa,The person whose nickname is Watto was appointed head coach in which year ?,['2015'],The table does not provide information regarding nicknames.,1
59,html,1,,529,Conditional Lookup,Easy,hybridqa,What is the record of the statistic that have become somewhat rare in Major League Baseball ?,['110'],110,0
59,latex,1,,297,Conditional Lookup,Easy,hybridqa,What is the record of the statistic that have become somewhat rare in Major League Baseball ?,['110'],110,0
59,markdown,1,,244,Conditional Lookup,Easy,hybridqa,What is the record of the statistic that have become somewhat rare in Major League Baseball ?,['110'],110,0
60,html,0,,1423,Conditional Lookup,Easy,hybridqa,In which year did the youngest son born to Archduke Franz Karl of Austria and Princess Sophie of Bavaria receive his honour ?,['1903'],The provided table does not contain information regarding the youngest son of Archduke Franz Karl of Austria and Princess Sophie of Bavaria.,0
60,latex,0,,549,Conditional Lookup,Easy,hybridqa,In which year did the youngest son born to Archduke Franz Karl of Austria and Princess Sophie of Bavaria receive his honour ?,['1903'],The provided table does not contain information regarding the youngest son of Archduke Franz Karl of Austria and Princess Sophie of Bavaria.,0
60,markdown,0,,586,Conditional Lookup,Easy,hybridqa,In which year did the youngest son born to Archduke Franz Karl of Austria and Princess Sophie of Bavaria receive his honour ?,['1903'],The provided table does not contain information regarding the youngest son of Archduke Franz Karl of Austria and Princess Sophie of Bavaria.,0
61,html,1,,1046,Conditional Lookup,Easy,hybridqa,The Australian bomber aircraft that was designed and constructed by the Commonwealth Aircraft Corporation first flew in what year ?,['1941'],1941,0
61,latex,1,,485,Conditional Lookup,Easy,hybridqa,The Australian bomber aircraft that was designed and constructed by the Commonwealth Aircraft Corporation first flew in what year ?,['1941'],1941,0
61,markdown,1,,459,Conditional Lookup,Easy,hybridqa,The Australian bomber aircraft that was designed and constructed by the Commonwealth Aircraft Corporation first flew in what year ?,['1941'],1941,0
62,html,0,,5194,Conditional Lookup,Easy,wikitq,who won the nfc championship before the vikings in 1976?,['Dallas Cowboys'],Los Angeles Rams,1
62,latex,1,,2016,Conditional Lookup,Easy,wikitq,who won the nfc championship before the vikings in 1976?,['Dallas Cowboys'],Dallas Cowboys,1
62,markdown,1,,2429,Conditional Lookup,Easy,wikitq,who won the nfc championship before the vikings in 1976?,['Dallas Cowboys'],Dallas Cowboys,1
63,html,0,,1448,Conditional Lookup,Easy,hybridqa,Who is the player with the college that completed a 49-season tenure at Sonny Lubick Field at Hughes Stadium in 2016 ?,['Oscar Reed'],The table does not contain information regarding the tenure of any college at a stadium.,0
63,latex,0,,554,Conditional Lookup,Easy,hybridqa,Who is the player with the college that completed a 49-season tenure at Sonny Lubick Field at Hughes Stadium in 2016 ?,['Oscar Reed'],The table does not contain information regarding the tenure of any college at Sonny Lubick Field at Hughes Stadium.,0
63,markdown,0,,573,Conditional Lookup,Easy,hybridqa,Who is the player with the college that completed a 49-season tenure at Sonny Lubick Field at Hughes Stadium in 2016 ?,['Oscar Reed'],The table does not contain information about the tenure of any college at Sonny Lubick Field at Hughes Stadium.,0
